Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Sharda Crop,2,SHARDACROP,538666,pesticidesagrochemicals,"[3.37, 4.9, -0.01, 5.17, -0.31]",[],"[209.84, 271.51, 114.06, 224.5, 72.29]",[],"[14.0, 16.0, 0.0, 21.0, -4.0]","[30.42, 44.19, 0.0, 46.65, -2.8]","[10.83, 9.83, 9.31, 7.57, 4.62]","[10.0, 6.0, 23.0, 64.0]",16.65,[0.06]
Sharda Ispat,2,,513548,steelmediumsmall,"[-0.14, 3.47, -0.34, -0.13, -1.02, 0.01, -0.18, 0.05, 0.17, -0.37]",[],"[12.76, 13.35, 12.05, 15.2, 14.26, 15.04, 12.12, 18.85, 27.76, 12.83]","[-11.0, -11.0, -1.0, -19.0, -49.0, 17.0]","[-1.0, 13.0, -1.0, -0.0, -4.0, 0.0, -1.0, 0.0, 0.0, -1.0]","[-0.07, 1.76, -0.17, -0.07, -0.52, 0.0, -0.09, 0.02, 0.09, -0.19]","[2.55, 0.04, 0.03, 0.77, None]","[6275.0, 33.0, -96.0]",26.58,"[3.03, 4.24, 2.44]"
Sharp Invest,2,,538212,miscellaneous,"[0.01, 0.02, 0.02, 0.01, 0.01, 0.03, 0.01, None, None, None]","[0.0, -33.0, 100.0]","[None, None, None, None, None, None, 0.01, 0.02, 0.02, 0.05]",[-1],[],"[0.04, 0.06, 0.04, 0.03, 0.02, 0.07, 0.01, 0.0, 0.0, -0.01]","[0.04, 0.03, 0.01, 0.02, 0.04]","[33.0, 200.0, -50.0, -50.0]",0.49,[]
Shayona Petro,2,,531538,petrochemicals,"[None, None, None, None, None, None, None, None, None, None]",[],"[0.05, 0.05, 0.03, 0.11, 0.1, 0.08, 0.07, 0.07, 0.07, 5.83]","[-50.0, -38.0, -57.0, 57.0, 43.0, -99.0]","[100.0, 100.0, 100.0, 91.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0]","[0.05, 0.05, 0.03, 0.1, 0.1, 0.08, 0.07, 0.07, 0.07, 5.79]","[None, None, None, None, None]",[],3.27,[]
Shell Infotech,2,,503630,computerssoftwaremediumsmall,"[0.05, 0.02, None, None, None, 0.02, 0.02, 0.03, 0.03, 0.06]",[],"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07, 0.1, 0.14, 0.67, None]","[-30.0, -29.0, -79.0]",-1.0,[]
Shetron,2,SHETRON,526137,packaging,"[0.41, 0.17, 0.1, 0.11, 0.44, 0.22, -0.4, -0.49, -0.44, -1.0]","[-7.0, -23.0, 125.0, 122.0, 200.0, 122.0]","[43.31, 36.91, 39.15, 42.42, 42.48, 33.52, 32.38, 34.0, 32.31, 30.18]","[2.0, 10.0, 21.0, 25.0, 31.0, 11.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, -1.0, -1.0, -3.0]","[0.37, 0.15, 0.09, 0.1, 0.4, 0.2, -0.36, -0.44, -0.4, -0.9]","[0.82, -1.11, -3.87, -4.7, 0.32]","[174.0, 71.0, 18.0, -1569.0]",1.85,"[2.26, 2.56, 2.52]"
Shirpur Gold,2,SHIRPUR-G,512289,miningminerals,"[1.54, -0.65, 2.23, 1.57, 1.71, 1.29, 0.58, 0.03, 0.08, 1.29]","[-10.0, -150.0, 284.0, 5133.0, 2038.0, 0.0]","[1112.94, 796.16, 801.05, 968.46, 639.04, 545.33, 188.9, 188.87, 817.35, 1114.33]","[74.0, 46.0, 324.0, 413.0, -22.0, -51.0]","[0.0, -0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4.48, -1.88, 6.5, 4.56, 4.98, 3.77, 1.7, 0.08, 0.24, 3.75]","[5.3, 1.99, 0.78, -5.44, -7.86]","[166.0, 155.0, 114.0, 31.0]",6.03,"[0.71, 0.52, 0.3]"
Shree Ajit Pulp,2,,538795,paper,"[6.07, 3.34, 4.72, 4.14, 1.1, 2.55, 3.85, 7.58, 8.35, 6.37]","[452.0, 31.0, 23.0, -45.0, -87.0, -60.0]","[55.56, 47.56, 42.64, 52.39, 46.2, 47.85, 47.16, 50.25, 47.99, 48.05]","[20.0, -1.0, -10.0, 4.0, -4.0, -0.0]","[6.0, 4.0, 6.0, 4.0, 2.0, 3.0, 4.0, 8.0, 9.0, 7.0]","[3.25, 1.79, 2.53, 2.22, 1.01, 1.37, 2.06, 4.06, 4.47, 3.41]","[13.29, 22.73, 26.3, 14.38, 16.44]","[-42.0, -14.0, 83.0, -13.0]",9.42,"[0.44, 0.42, 0.66]"
Shree Bhavya,2,,521131,textilesweaving,"[0.23, 0.2, 0.08, 0.08, 0.2, None, None, None, 0.17, None]",[15.0],"[62.15, 60.26, 62.12, 62.17, 61.48, 51.61, 55.61, 119.9, 60.5, 59.15]","[1.0, 17.0, 12.0, -48.0, 2.0, -13.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.22, 0.19, 0.08, 0.08, 0.19, 0.13, 0.06, 0.26, 0.17, 0.35]","[0.38, 0.31, 0.4, None, 0.31]","[23.0, -23.0]",1.47,"[2.35, 2.49, 2.62]"
Shree Global,2,,512463,financeinvestments,"[0.01, -0.01, 0.04, -0.01, -0.01, 0.59, -0.01, -0.02, -0.53, None]","[200.0, -102.0, 500.0, 50.0, 98.0]","[None, 175.12, 118.46, None, None, None, None, None, None, None]",[-1],[],"[0.21, -0.12, 0.87, -0.14, -0.21, 12.38, -0.24, -0.37, -11.02, -0.01]","[0.02, 0.04, 0.07, 0.06, -0.16]","[-50.0, -43.0, 17.0, 138.0]",0.09,[]
Shree Hanuman,2,,537709,sugar,"[0.16, 0.36, None, 0.64, 0.74, None, None, 1.36, None, None]",[-78.0],"[3.56, 4.55, 19.34, 2.24, 2.65, 4.42, 9.95, 7.28, 15.06, 4.03]","[34.0, 3.0, 94.0, -69.0]","[8.0, 13.0, 4.0, 46.0, 45.0, 31.0, 25.0, 30.0, 30.0, 11.0]","[0.3, 0.58, 0.71, 1.03, 1.19, 1.39, 2.45, 2.18, 4.58, 0.46]","[1.26, 1.96, 2.7, 4.51]","[-36.0, -27.0, -40.0]",3.09,"[0.09, 0.13, 0.23]"
Shree Nath Comm,2,,512105,financeinvestments,"[0.09, -1.01, -0.08, -0.15, -0.49, 0.13, 0.16, 0.01, -0.01, 0.04]",[],"[0.27, 2.67, 0.02, 0.55, 5.77, None, None, 0.7, 3.94, 3.25]",[],"[44.0, -48.0, -500.0, -349.0, -11.0]","[0.12, -1.28, -0.1, -1.92, -0.62, 0.16, 0.2, 0.17, -0.07, 0.46]","[-1.83, -0.12, -0.07, -0.02, 0.02]",[],-8.36,"[0.07, 0.1, 0.22]"
Shree Precoated,2,SHPRE,533110,steelgpgcsheets,"[0.11, 0.04, 0.07, 0.11, 0.45, 0.02, -0.02, -0.03, 0.04, 0.01]","[-76.0, 100.0, 450.0, 467.0, 1025.0, 100.0]","[4.92, 2.11, 3.4, 4.23, 16.38, 1.93, 0.59, None, 0.7, 4.16]","[-70.0, 9.0, 476.0]","[18.0, 322.0, 16.0, 21.0, 23.0, 1581.0, -25.0]","[0.91, 6.79, 0.56, 0.88, 3.7, 30.52, -0.15, -0.22, 0.29, 0.12]","[0.66, 0.01, 0.11, -8.74, None]","[6500.0, -91.0, 101.0]",96.21,[31.86]
Shree Rajasthan,2,SHRERAJSYN,503837,textilesspinningsyntheticblended,"[0.35, 0.68, -0.99, -0.37, -0.65, 0.06, 0.99, 0.1, 0.32, 0.44]",[],"[61.21, 71.34, 75.62, 71.07, 72.53, 76.04, 70.61, 66.6, 63.57, 74.7]",[],"[1.0, 1.0, -2.0, -1.0, -1.0, 0.0, 2.0, 0.0, 1.0, 1.0]","[0.43, 0.84, -1.23, -0.45, -0.8, 0.07, 1.22, 0.12, 0.39, 0.52]","[-1.14, 0.49, 0.02, -13.66, 5.61]",[],-4.13,"[2.99, 3.01, 3.48]"
Shree Ram Urban,2,,503205,textilessyntheticsilk,"[0.77, -0.22, -6.97, -0.05, -0.57, -0.19, -2.0, -0.44, -0.72, 0.06]","[235.0, -16.0, -249.0, 89.0, 21.0, -417.0]","[39.84, 21.74, None, None, 20.02, 23.34, 41.11, 48.37, 24.1, 60.89]","[99.0, -7.0]","[8.0, -4.0]","[3.18, -0.89, -28.65, -0.2, -2.34, -0.77, -8.21, -1.79, -2.95, 0.24]","[-7.77, -3.09, 2.21, 0.2, None]",[],-1.0,"[2.99, 1.79, 2.11]"
Shree Secu,2,,538975,financeinvestments,"[None, None, None, None, -0.01, None, None, None, None, -0.03]",[],"[0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.03, 0.03, 0.03, 0.03]","[25.0, -20.0, 33.0, 33.0, 33.0, 67.0]","[-20.0, 0.0, 50.0, 50.0, -200.0, 20.0, 33.0, 33.0, 0.0, -67.0]","[-0.01, 0.0, 0.02, 0.02, -0.08, 0.01, 0.01, 0.01, 0.0, -0.02]","[None, None, -0.02, -0.05]",[],-0.04,[]
Shree Steel Wir,2,,513488,steelmediumsmall,"[1.19, -1.06, 1.11, 1.04, 0.92, 0.7, 0.76, 0.83, 0.71, -0.52]","[29.0, -251.0, 46.0, 25.0, 30.0, 235.0]","[3.19, 2.32, 2.67, 2.46, 2.08, 2.63, 2.24, 2.22, 1.89, 1.66]","[53.0, -12.0, 19.0, 11.0, 10.0, 58.0]","[12.0, -15.0, 14.0, 14.0, 14.0, 9.0, 11.0, 12.0, 13.0, -30.0]","[0.39, -0.35, 0.37, 0.34, 0.3, 0.23, 0.25, 0.27, 0.24, -0.5]","[2.01, 3.01, 0.89, 0.69, 0.85]","[-33.0, 238.0, 29.0, -19.0]",-1.0,"[0.01, 0.01, 0.01]"
Shree Tulsi,2,,590128,miscellaneous,"[0.02, 0.02, 0.02, 0.02, 0.02, -0.13, 0.05, 0.06, 0.09, 0.02]","[0.0, 115.0, -60.0, -67.0, -78.0, -750.0]","[0.2, 0.4, 0.22, 0.2, 0.2, 3.89, 4.33, 4.58, 4.92, 5.4]","[0.0, -90.0, -95.0, -96.0, -96.0, -28.0]","[25.0, 13.0, 23.0, 20.0, 20.0, -8.0, 3.0, 3.0, 4.0, 1.0]","[0.05, 0.05, 0.05, 0.04, 0.04, -0.3, 0.12, 0.13, 0.22, 0.04]","[None, 0.07, 0.36, 0.21, 0.21]",[],0.03,[]
Shreenath Ind,2,,539224,miscellaneous,"[0.07, -0.26, 0.35, 0.01, 0.07, 0.83, 0.72, None, None, None]","[0.0, -131.0, -51.0]","[3.13, 0.54, 0.16, 0.02, 0.09, 0.09, 0.03, 0.03, 0.03, 0.01]","[3378.0, 500.0, 433.0, -33.0, 200.0, 800.0]","[1.0, -17.0, 75.0, 50.0, 22.0, 44.0, 67.0, 33.0, 67.0, 0.0]","[0.03, -0.09, 0.12, 0.01, 0.02, 0.04, 0.02, 0.01, 0.02, 0.0]","[0.08, 0.95, 0.01, 2.34]","[-92.0, 9400.0, -100.0]",0.85,[]
Shreenath Inves,2,,503696,financeinvestments,"[0.24, 0.46, 16.82, 3.58, 0.87, None, 0.02, 2.17, 0.48, None]",[-72.0],"[0.03, 0.03, 0.03, 0.05, 0.05, 0.11, 0.03, 0.03, 0.03, 0.03]","[-40.0, -73.0, 0.0, 67.0, 67.0, 267.0]","[33.0, 33.0, 1400.0, 180.0, 40.0, 118.0, 0.0, 167.0, 33.0, 67.0]","[0.01, 0.01, 0.42, 0.09, 0.02, 0.13, 0.0, 0.05, 0.01, 0.02]","[21.73, 8.05, 5.5, 42.45, 41.35]","[170.0, 46.0, -87.0, 3.0]",7.24,[]
Shreevat Fin,2,,532007,financeinvestments,"[None, None, 0.01, None, None, None, None, None, None, None]",[],"[0.04, 0.2, 0.45, 0.72, 0.85, 1.04, 0.96, 0.15, 0.21, 0.56]","[-95.0, -81.0, -53.0, 380.0, 305.0, 86.0]","[-250.0, 2275.0, 2.0, -51.0, -14.0, 19.0, -3.0, -60.0, -38.0, -25.0]","[-0.1, 4.55, 0.01, -0.37, -0.12, 0.2, -0.03, -0.09, -0.08, -0.14]","[3.37, 0.23, 2.41, None, None]","[1365.0, -90.0]",18.0,[]
Shri Mahalaxmi,2,,539010,foodprocessing,"[0.02, 0.61, 0.07, 0.04, 0.02, None, 0.41, -0.02, 0.41, None]",[0.0],"[15.05, 0.5, 0.08, 3.35, 0.02, 5.35, 0.06, 0.07, 0.06, 0.52]","[75150.0, -91.0, 33.0, 4686.0, -67.0, 929.0]","[0.0, 124.0, 88.0, 1.0, 100.0, 7.0, 33.0, -29.0, 50.0, 79.0]","[0.03, 0.62, 0.07, 0.04, 0.02, 0.36, 0.02, -0.02, 0.03, 0.41]","[0.57, 1.98, 0.38, None, None]","[-71.0, 421.0]",5.08,[]
Shri Niwas Lea,2,,538897,financeinvestments,"[0.19, None, 0.12, -0.22, -0.12, 0.79, -0.08, -0.12, None, 0.06]",[258.0],"[0.11, None, None, None, None, None, None, None, None, None]",[-1],[73.0],"[0.08, 0.0, 0.05, -0.09, -0.05, 0.32, -0.03, -0.05, 0.0, 0.02]","[0.02, 0.54]",[],0.25,[]
Shriram Asset,2,,531359,financegeneral,"[-0.69, -0.94, 0.89, -0.57, -0.55, -0.73, -0.65, -0.69, -58.0, -0.96]",[],"[0.18, 0.1, 0.09, 0.08, 0.07, 0.07, 0.02, None, None, None]","[157.0, 43.0, 350.0]","[-233.0, -560.0, 589.0, -425.0, -471.0, -629.0, -1950.0]","[-0.42, -0.56, 0.53, -0.34, -0.33, -0.44, -0.39, -0.41, -0.35, -0.58]","[-1.17, -2.65, -1.91, 0.25, -0.04]",[],-9.92,"[0.57, 0.52, 0.11]"
Shriram City,2,SHRIRAMCIT,532498,financeleasinghirepurchase,"[22.41, 22.7, 21.69, 20.91, 20.83, 24.87, 21.78, 21.83, 21.19, 23.86]","[8.0, -9.0, -0.0, -4.0, -2.0, 4.0]","[912.85, 892.03, 895.56, 848.2, 846.45, 804.25, 796.24, 784.64, 788.37, 825.94]","[8.0, 11.0, 12.0, 8.0, 7.0, -3.0]","[16.0, 17.0, 16.0, 16.0, 15.0, 18.0, 16.0, 16.0, 15.0, 15.0]","[147.7, 149.6, 142.94, 137.81, 127.72, 147.44, 129.09, 127.2, 117.42, 125.72]","[86.18, 89.76, 85.61, 68.75, 48.78]","[-4.0, 5.0, 25.0, 41.0]",13.61,"[2.17, 3.21, 4.47]"
Shriram EPC,2,SHRIRAMEPC,532945,engineeringheavy,"[-0.3, -10.51, -5.44, -15.9, -12.56, -86.89, -2.8, -9.36, -59.93, -1.5]",[],"[151.35, 154.96, 134.75, 119.2, 138.75, 135.36, 193.9, 163.29, 212.33, 310.98]","[9.0, 14.0, -31.0, -27.0, -35.0, -56.0]","[-2.0, -59.0, -27.0, -59.0, -40.0, -285.0, -6.0, -25.0, -125.0, -2.0]","[-2.79, -90.73, -35.87, -70.54, -55.71, -385.43, -12.42, -41.52, -265.81, -6.65]","[-42.22, 0.66, 5.75, 15.8, None]",[],-1.0,[]
Shrishma Fine,2,,507000,pharmaceuticals,"[None, None, None, None, None, None, None, None, None, None]",[],"[0.43, 0.48, 1.0, 0.28, 0.39, 0.94, 1.17, 1.14, 0.8, 0.99]",[54.0],"[-37.0, -208.0, -2.0, -139.0, -179.0, -81.0, -15.0, -7.0, -5.0, 7.0]","[-0.16, -1.0, -0.02, -0.39, -0.7, -0.76, -0.18, -0.08, -0.04, 0.07]","[None, None, None, None, None]",[],-1.0,[]
Shukra Capitals,2,,531506,financeinvestments,"[0.08, -0.01, None, None, None, None, None, 0.04, -0.01, 0.01]",[],"[2.12, 1.74, 0.7, 0.68, 0.92, 0.7, 0.72, 0.7, 0.89, 0.69]","[212.0, 89.0, -3.0, -3.0, 3.0, 1.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0]","[0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01, 0.0]","[0.01, 0.01, 0.01, 0.03, 0.02]","[0.0, 0.0, -67.0, 50.0]",-1.0,"[0.02, 0.07, 0.02]"
Shukun Cons,2,,531715,constructioncontractinghousing,"[None, None, None, None, None, None, None, None, None, None]",[],"[0.05, 0.06, 0.05, 0.05, 0.07, 0.06, 0.13, 0.29, 0.16, 0.17]","[-29.0, 0.0, -62.0, -83.0, -56.0, -65.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01]","[None, None, None, None, None]",[],-1.0,[]
Shyama Infosys,2,,531219,pharmaceuticals,"[None, None, None, None, None, None, None, None, None, None]",[],"[0.04, 0.12, 0.02, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01]","[0.0, 300.0, 100.0, 300.0, 200.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 33.0, -100.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.01, -0.01, 0.0, 0.0, 0.0, 0.0]","[None, None, None, None, None]",[],0.0,[]
Shyamkamal Inve,2,,505515,financeinvestments,"[0.89, -1.74, -0.73, 1.18, -3.61, -0.34, 1.0, -0.03, 2.62, 1.36]",[],"[0.55, 0.3, 0.12, 0.77, 2.85, 0.84, None, 0.01, 0.01, None]",[],"[135.0, -480.0, -508.0, 127.0, -105.0, -7.0]","[0.74, -1.44, -0.61, 0.98, -2.99, -0.06, 0.02, -0.01, 0.06, 0.03]","[-0.42, -11.47, 10.25, -7.16, 0.5]",[],-6.76,[]
Sibar Auto,2,,520141,autoancillaries,"[None, 0.11, 0.05, 0.04, 0.08, 1.29, 0.11, 0.1, None, 0.03]",[],"[4.13, 3.85, 3.95, 4.79, 3.63, 3.35, 3.32, 3.08, 2.47, 2.39]","[14.0, 15.0, 19.0, 56.0, 47.0, 40.0]","[3.0, 2.0, 2.0, 1.0, 2.0, 21.0, 2.0, 2.0, 4.0, 1.0]","[0.12, 0.07, 0.07, 0.06, 0.07, 0.71, 0.06, 0.05, 0.09, 0.02]","[0.2, 1.67, 3.57, None, None]","[-88.0, -53.0]",-1.0,[0.72]
Sibar Software,2,,532302,computerssoftwaremediumsmall,"[None, None, None, None, None, None, None, None, None, None]",[],"[0.02, 0.02, 0.03, 0.01, 0.02, 0.02, 0.04, 0.03, 0.05, 0.05]","[0.0, 0.0, -25.0, -67.0, -60.0, -60.0]","[0.0, 50.0, -33.0, 0.0, 0.0, 0.0, 0.0, 0.0, -20.0, 20.0]","[0.0, 0.01, -0.01, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01, 0.01]","[None, None, None, None, None]",[],-1.0,[]
SIL Invest,2,SILINV,521194,textilesspinningcottonblended,"[1.06, 1.09, 1.15, 8.89, 0.97, 0.96, 1.03, 8.13, 1.03, -1.87]","[9.0, 14.0, 12.0, 9.0, -6.0, 151.0]","[4.17, 4.32, 4.53, 12.02, 4.56, 4.36, 4.91, 12.67, 5.6, 5.48]","[-9.0, -1.0, -8.0, -5.0, -19.0, -20.0]","[27.0, 27.0, 27.0, 78.0, 23.0, 23.0, 22.0, 68.0, 19.0, -36.0]","[1.12, 1.15, 1.22, 9.42, 1.03, 1.02, 1.09, 8.61, 1.09, -1.98]","[12.1, 11.15, 8.18, 9.75, 8.84]","[9.0, 36.0, -16.0, 10.0]",-1.0,"[0.45, 0.55, 0.72]"
Simplex Infra,2,SIMPLEXINF,523838,constructioncontractingcivil,"[3.62, 4.49, 2.98, 2.58, 2.57, 4.32, 3.07, 2.28, 2.58, 3.63]","[41.0, 4.0, -3.0, 13.0, -0.0, 19.0]","[1505.48, 1532.99, 1419.1, 1248.29, 1340.41, 1434.66, 1389.55, 1282.16, 1392.9, 1479.03]","[12.0, 7.0, 2.0, -3.0, -4.0, -3.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[17.91, 22.23, 14.76, 12.74, 12.7, 21.37, 15.17, 11.27, 12.77, 17.98]","[12.62, 12.25, 12.09, 18.03, 24.91]","[3.0, 1.0, -33.0, -28.0]",4.33,"[2.08, 2.07, 1.74]"
Simplex Papers,2,,533019,paper,"[0.05, -3.49, 4.56, -1.54, -1.24, -1.44, -0.55, 1.63, 1.77, -0.17]","[104.0, -142.0, 929.0, -194.0, -170.0, -747.0]","[None, 0.09, 0.06, 0.17, 0.41, 0.15, 0.4, 0.45, 0.3, 0.3]",[-1],[],"[0.02, -1.05, 1.37, -0.46, -0.37, -0.43, -0.17, 0.49, 0.53, -0.05]","[-1.71, 1.41, -1.4, -1.45, -3.39]",[],-1.0,[]
Simran Farms,2,,519566,miscellaneous,"[2.84, 8.44, 6.7, -13.35, 0.25, 26.25, -26.92, 1.91, 0.41, 32.54]","[1036.0, -68.0, 125.0, -799.0, -39.0, -19.0]","[111.56, 112.49, 130.92, 102.31, 98.29, 101.96, 93.63, 89.62, 74.5, 82.38]","[14.0, 10.0, 40.0, 14.0, 32.0, 24.0]","[1.0, 3.0, 2.0, -5.0, 0.0, 10.0, -11.0, 1.0, 0.0, 15.0]","[1.08, 3.2, 2.54, -5.06, 0.1, 9.95, -10.21, 0.73, 0.15, 12.34]","[2.04, 1.65, -7.78, 1.78, 10.52]","[24.0, 121.0, -537.0, -83.0]",4.93,"[0.43, 0.05, 0.01]"
Sinclairs Hotel,2,,523023,hotels,"[5.58, -1.87, 4.82, 0.76, 4.8, 1.39, 3.98, 4.5, 1.85, -3.61]","[16.0, -235.0, 21.0, -83.0, 159.0, 139.0]","[10.58, 7.68, 7.79, 4.25, 7.44, 5.55, 5.9, 3.79, 5.6, 5.22]","[42.0, 38.0, 32.0, 12.0, 33.0, 6.0]","[29.0, -14.0, 34.0, 10.0, 36.0, 13.0, 41.0, 72.0, 20.0, -42.0]","[3.11, -1.04, 2.68, 0.42, 2.68, 0.7, 2.41, 2.73, 1.12, -2.19]","[8.51, 11.72, 23.6, 5.09, 8.62]","[-27.0, -50.0, 364.0, -41.0]",7.03,[]
Singer India,2,SINGER,505729,trading,"[1.86, 1.3, 1.61, 1.38, 2.19, 1.27, 1.41, 1.63, 1.51, 8.36]","[-15.0, 2.0, 14.0, -15.0, 45.0, -85.0]","[73.84, 70.98, 70.93, 69.21, 65.08, 64.02, 58.43, 55.82, 47.46, 53.7]","[13.0, 11.0, 21.0, 24.0, 37.0, 19.0]","[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 3.0, 3.0, 3.0, 17.0]","[1.8, 1.4, 1.73, 1.48, 2.35, 1.36, 1.51, 1.75, 1.62, 8.98]","[6.14, 6.49, 14.26, 9.51, 7.09]","[-5.0, -54.0, 50.0, 34.0]",17.66,[]
Sirhind Steel,2,,530593,steelrolling,"[1.53, 4.37, 3.03, 8.98, 2.61, 3.81, 0.03, 2.77, 4.58, 1.84]",[],"[0.54, 3.69, 1.12, 0.61, 1.36, 0.54, None, None, None, 6.46]",[],"[113.0, 47.0, 109.0, 590.0, 77.0, 283.0]","[0.61, 1.75, 1.22, 3.6, 1.05, 1.53, 0.01, 1.11, 1.83, 0.73]","[15.95, 9.22, 6.22, 6.72, 8.15]","[73.0, 48.0, -7.0, -18.0]",9.36,[]
Sita Shree Food,2,SITASHREE,532961,foodprocessing,"[0.35, -0.41, 0.65, 0.33, 0.3, -0.08, 0.12, 0.36, 0.07, -0.25]","[17.0, -412.0, 442.0, -8.0, 329.0, 68.0]","[104.09, 182.27, 157.1, 123.62, 114.3, 148.57, 151.14, 123.13, 69.41, 105.78]","[-9.0, 23.0, 4.0, 0.0, 65.0, 40.0]","[1.0, -1.0, 1.0, 1.0, 1.0, -0.0, 0.0, 1.0, 0.0, -1.0]","[0.97, -1.14, 1.8, 0.92, 0.83, -0.23, 0.27, 0.8, 0.16, -0.54]","[0.88, 0.36, -0.39, 0.45, 0.43]","[144.0, 192.0, -187.0, 5.0]",3.84,"[2.42, 2.18, 0.87]"
Siyaram Silk,2,SIYSIL,503811,textilesweaving,"[12.0, 34.2, 13.91, 23.51, 21.54, 15.08, 19.74, 11.45, 13.95, 14.73]",[],"[300.21, 479.45, 328.19, 394.49, 405.21, 307.52, 337.97, 250.73, 289.22, 278.04]",[],"[4.0, 7.0, 4.0, 6.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0]","[11.57, 32.14, 13.04, 22.03, 20.19, 14.14, 18.51, 10.73, 12.97, 13.81]","[83.97, 68.58, 58.85, 59.12, 61.51]","[22.0, 17.0, -0.0, -4.0]",18.11,"[0.64, 0.74, 0.77]"
SJ Corporation,2,,504398,diamondcuttingjewellerypreciousmetals,"[0.06, -0.21, 0.22, -0.15, -0.06, -0.34, 1.11, 0.3, 0.19, -0.07]","[140.0, -250.0, -80.0, -150.0, -132.0, -386.0]","[11.6, 16.58, 9.14, 12.37, 4.1, 11.73, 17.88, 8.93, 5.26, 3.39]","[-6.0, 304.0, -49.0, 39.0, -22.0, 246.0]","[0.0, -1.0, 2.0, -1.0, -1.0, -2.0, 5.0, 3.0, 3.0, -2.0]","[0.05, -0.18, 0.18, -0.12, -0.05, -0.29, 0.93, 0.25, 0.16, -0.06]","[None, 1.01, 0.57, 0.51, 0.47]",[],-1.0,[0.61]
SKS,2,SKSIND,513351,metalsnonferrous,"[3.9, 4.64, 4.44, 3.63, 3.36, 4.84, 3.97, 3.6, 3.36, 4.05]","[16.0, -4.0, 12.0, 1.0, 0.0, 20.0]","[161.91, 195.37, 179.68, 153.19, 127.56, 227.03, 162.55, 126.59, 108.79, 108.07]","[27.0, -14.0, 11.0, 21.0, 17.0, 110.0]","[5.0, 5.0, 5.0, 5.0, 6.0, 4.0, 5.0, 6.0, 6.0, 7.0]","[8.19, 9.75, 9.32, 7.63, 7.05, 10.15, 8.34, 7.55, 7.05, 8.1]","[16.07, 15.76, 11.45, 8.87, 7.09]","[2.0, 38.0, 29.0, 25.0]",20.24,"[1.54, 1.35, 1.01]"
Smiths & Found,2,,513418,castingsforgings,"[-0.04, -0.04, -0.05, -0.09, -0.94, -1.83, -0.01, -0.01, -0.01, -0.01]",[],"[1.78, 1.72, 1.85, 1.6, 1.37, 6.76, None, None, None, None]","[30.0, -75.0]","[-26.0, -24.0, -29.0, -28.0, -30.0, -12.0]","[-0.46, -0.42, -0.53, -0.45, -0.41, -0.79, -0.05, -0.06, -0.04, -0.06]","[-0.18, -2.15, -0.07, -0.01, 0.01]",[],-14.14,[]
Snowcem India,2,SNOWCEMIND,531890,paintsvarnishes,"[None, None, None, None, None, None, None, None, None, None]",[],"[1.54, 1.66, 1.51, 1.27, 1.95, 2.24, 2.74, 2.48, 2.43, 2.43]","[21.0, -15.0, -33.0, -49.0, -20.0, -8.0]","[-5.0, -16.0, -13.0, -228.0, -92.0, -79.0, -68.0, -73.0, -115.0, -115.0]","[-0.08, -0.27, -0.2, -2.89, -1.79, -1.78, -1.87, -1.81, -2.79, -2.79]","[-0.28, -2.33, None, None, None]",[],-1.0,[]
